ID: 101  | Piloto: Max Verstappen       | Estado: A | Puntos: 395
ID: 102  | Piloto: Sergio Perez         | Estado: A | Puntos: 258
ID: 103  | Piloto: Charles Leclerc      | Estado: A | Puntos: 280
ID: 104  | Piloto: Carlos Sainz         | Estado: A | Puntos: 200
ID: 105  | Piloto: Lewis Hamilton       | Estado: A | Puntos: 220
ID: 106  | Piloto: George Russell       | Estado: A | Puntos: 160
ID: 107  | Piloto: Lando Norris         | Estado: A | Puntos: 195
ID: 108  | Piloto: Oscar Piastri        | Estado: A | Puntos: 150
ID: 109  | Piloto: Fernando Alonso      | Estado: A | Puntos: 180
ID: 110  | Piloto: Lance Stroll         | Estado: A | Puntos: 60
ID: 111  | Piloto: Kimi Raikkonen       | Estado: R | Puntos: 0
ID: 112  | Piloto: Kevin Magnussen      | Estado: S | Puntos: 15
